instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
tic-tac-toe,4,0.1,37,0.659707724,0.635983264,0.658333333,607.0275648,0.612269939
tic-tac-toe,4,0.0,42,0.801670146,0.786610879,0.779166667,606.5853722,1.0
tic-tac-toe,4,0.01,42,0.736951983,0.711297071,0.758333333,606.8385968,0.968564784
tic-tac-toe,4,0.1,42,0.607515658,0.665271967,0.733333333,606.1387959,0.690425532
tic-tac-toe,4,0.0,53,0.762004175,0.690376569,0.704166667,606.8577511,1.0
tic-tac-toe,4,0.01,53,0.665970772,0.635983264,0.645833333,606.372129,0.960125
tic-tac-toe,4,0.1,53,0.665970772,0.635983264,0.645833333,606.2659793,0.60125
tic-tac-toe,5,0.0,37,0.697286013,0.711297071,0.704166667,615.3660073,1.0
tic-tac-toe,5,0.01,37,0.659707724,0.635983264,0.658333333,614.7213638,0.980613497
tic-tac-toe,5,0.1,37,0.659707724,0.635983264,0.658333333,621.8404298,0.806134969
tic-tac-toe,5,0.0,42,0.691022965,0.677824268,0.7375,615.8970742,1.0
tic-tac-toe,5,0.01,42,0.691022965,0.677824268,0.7375,615.3978593,0.980716984
tic-tac-toe,5,0.1,42,0.607515658,0.665271967,0.733333333,615.2679999,1.0
tic-tac-toe,5,0.0,53,0.665970772,0.635983264,0.645833333,614.5673909,1.0
tic-tac-toe,5,0.01,53,0.665970772,0.635983264,0.645833333,622.1214838,0.9800625
tic-tac-toe,5,0.1,53,0.665970772,0.635983264,0.645833333,615.3618541,0.800625
monks-1,2,0.0,37,0.8093525179856115,0.7050359712230215,0.7841726618705036,42.99906539916992,0.0
monks-1,2,0.01,37,0.8093525179856115,0.7050359712230215,0.7841726618705036,95.47124028205872,0.0
monks-1,2,0.1,37,0.7733812949640287,0.697841726618705,0.7410071942446043,74.7828938961029,0.0
monks-1,2,0.0,42,0.7913669064748201,0.7482014388489209,0.762589928057554,114.20512461662292,0.0
monks-1,2,0.01,42,0.7913669064748201,0.7482014388489209,0.762589928057554,88.90701794624329,0.0
monks-1,2,0.1,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,49.22015595436096,0.0
monks-1,2,0.0,53,0.8093525179856115,0.7841726618705036,0.7050359712230215,48.263163566589355,0.0
monks-1,2,0.01,53,0.8093525179856115,0.7841726618705036,0.7050359712230215,83.44995021820068,0.0
monks-1,2,0.1,53,0.7769784172661871,0.7338129496402878,0.697841726618705,25.926151752471924,0.0
monks-1,3,0.0,37,0.9136690647482014,0.8633093525179856,0.8848920863309353,601.477447271347,1.0
monks-1,3,0.01,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,601.7115142345428,0.8934869503879616
monks-1,3,0.1,37,0.7733812949640287,0.697841726618705,0.7410071942446043,601.2333965301514,0.14852752880920386
monks-1,3,0.0,42,0.9028776978417267,0.8633093525179856,0.8992805755395683,601.4045059680939,1.0
monks-1,3,0.01,42,0.8992805755395683,0.8705035971223022,0.8705035971223022,601.4379811286926,0.8406352683461114
monks-1,3,0.1,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,602.0209746360779,0.29216152019002467
monks-1,3,0.0,53,0.9172661870503597,0.8633093525179856,0.8345323741007195,601.299375295639,1.0
monks-1,3,0.01,53,0.8776978417266187,0.8273381294964028,0.7769784172661871,601.7825629711151,0.8806532663316572
